id,name1,name2,season,rank,time,maxState,斬撃,貫通,打撃,憤怒,色欲,怠惰,暴食,憂鬱,傲慢,嫉妬,憤怒耐性,色欲耐性,怠惰耐性,暴食耐性,憂鬱耐性,傲慢耐性,嫉妬耐性
13001,烏瞰刀,イサン,恒常,1,0,4,0,1,0,1,0,3,0,0,0,0,1,1,0.75,1,2,1,2
13002,4本目のマッチの火,イサン,SEASON 1,2,1,5,1,0,0,5,0,1,1,0,0,0,0.5,1,2,1,2,1,1
13003,願いの石,イサン,恒常,2,0,4,0,1,0,0,0,4,0,1,0,0,1,1,0.5,2,2,1,1
13004,次元裂き,イサン,恒常,3,0,4,0,1,0,0,0,3,3,0,0,0,2,0.75,1,1,1,0.5,2
13005,狐雨,イサン,SEASON 2,4,2,4,0,1,0,0,0,4,2,2,2,0,2,2,0.75,0.5,1,1,1
13006,過ぎし日,イサン,SEASON 4,1,4,4,0,1,0,0,0,3,0,3,0,0,1,2,1,1,0.75,2,1
13007,凶弾,イサン,SEASON 5,3,5,4,0,1,0,2,0,0,0,0,6,0,1,1,2,1,0.5,0.75,2
13008,三千大世界,イサン,SEASON 7,4,7,4,0,1,0,4,0,0,0,2,2,4,0.5,2,1,2,0.5,0.75,1
13009,厳粛な哀悼,イサン,WALPURGISNACHT IX,3,7,4,0,1,0,0,0,1,0,4,2,0,1,1,0.75,2,0.5,1,2
14001,表象放出機,ファウスト,恒常,1,0,4,0,0,1,0,0,0,2,0,4,0,1,2,1,2,1,0.75,1
14002,水袋,ファウスト,恒常,3,1,4,0,0,1,0,2,0,0,4,0,3,1,0.75,1,1,0.5,2,2
14003,呪いの釘,ファウスト,恒常,2,0,4,0,1,0,0,0,0,0,0,0,6,1,2,1,1,1,2,0.5
14004,電信柱,ファウスト,恒常,3,1,4,0,1,0,1,3,0,0,0,0,2,1,1,2,2,1,0.75,0.5
14005,9章2節,ファウスト,SEASON 3,2,3,5,1,0,0,0,1,0,3,0,1,0,0.5,1,1,1,2,1,2
14006,永続,ファウスト,SEASON 4 [EVENT],4,4,4,0,0,1,0,2,4,0,2,3,0,0.75,2,0.5,1,1,0.5,2
14007,投げ縄,ファウスト,SEASON 5,2,5,4,1,0,0,0,1,0,3,0,0,2,2,1,1,0.5,2,1,1
14008,胸痛,ファウスト,SEASON 5,3,5,4,0,1,0,0,0,1,0,1,5,0,0.75,1,2,2,1,0.5,1
