id,name1,name2,season,rank,time,maxState,斬撃耐性,貫通耐性,打撃耐性,斬撃,貫通,打撃,防御,回避,反撃,M防御,M反撃,憤怒,色欲,怠惰,暴食,憂鬱,傲慢,嫉妬,火傷,出血,振動,破裂,沈潜,呼吸,充電
1001,LCB 囚人,イサン,恒常,1,0,4,2,0.5,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
1002,南部セブン協会 6課,イサン,恒常,2,0,4,1,0.5,2,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0
1003,剣契 殺手,イサン,恒常,3,0,4,0.5,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
1004,開花 E.G.O:: 壇香梅,イサン,SEASON 2,3,2,4,1,0.5,2,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0
1005,奥歯事務所 フィクサー,イサン,SEASON 2 [EVENT],2,2,4,0.5,2,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
1006,W社 3級 整理要員,イサン,恒常,3,2,4,1,0.5,2,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
1007,ピークォド号 1等航海士,イサン,SEASON 3,2,3,4,2,0.5,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0
1008,南部ディエーチ協会 4課,イサン,恒常,2,3,4,1,2,0.5,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
1009,薬指点描派 スチューデント,イサン,恒常,3,4,4,1,0.5,2,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0
1010,ロボトミーE.G.O:: 厳粛な哀悼,イサン,WALPURGISNACHT-IV,3,4,4,1,0.5,2,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
1011,LCE E.G.O:: 提灯,イサン,SEASON 5 [EVENT],2,5,4,2,1,0.5,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
